Serial No.,Course Slot,Course Code,Course Description,Course Credit,L-T-P,Course Coordinator,Max.Limit,Stu.Registered
253,E,CLL786,FINE CHEMICALS TECHNOLOGY,3,3-0-0,RAJESH KHANNA,75,110
254,E,CLL793,MEMBRANE SCIENCE & ENGINEERING,3,3-0-0,S.K. GUPTA,55,35
255,E,CLP302,CHEMICAL ENGINEERING LAB - II,1.5,0-0-3,VIKRAM SINGH,165,154
256,E,CML524,TRAN. & INNER TRAN. METAL CHE.,3,3-0-0,D.K. BANDYOPADHYAY,60,49
257,E,CML737,APPLIED SPECTROSCOPY,3,3-0-0,NIDHI JAIN,60,19
258,E,COL226,PROGRAMMING LANGUAGES,5,3-0-4,S.ARUN-KUMAR,100,108
259,E,COL362,INTRO. TO DATABASE MGMT. SYST.,4,3-0-2,S.K. GUPTA,80,82
260,E,COL632,INTRODUCTION TO DATA BASESYSTEMS,4,3-0-2,S.K. GUPTA,40,31
261,E,COL740,SOFTWARE ENGINEERING,4,3-0-2,SURESH CHAND GUPTA,80,86
262,E,COL786,ADVANCED FUNCTIONAL BRAIN IMG.,4,3-0-2,RAHUL GARG,30,9
263,E,CRL702,ARCHITECTURES AND ALGORITHMS FOR DSP SYSTEMS,4,2-0-4,ARUN KUMAR,35,35
264,E,CVL281,HYDRAULICS,4,03-01-00,SHASHI MATHUR,117,105
265,E,CVL381,DESIGN OF HYDRAULIC STRUCTURES,4,3-0-2,BHAGU RAM CHAHAR,150,96
266,E,CVL706,SOIL DYNAMICS AND EARTHQUAKE GEOTECHNICAL ENGG.,3,3-0-0,JAGDISH TELANGRAO SHAHU,60,15
267,E,CVL713,ANALYSIS AND DESIGN OF UNDERGROUND STRUCTURES,3,3-0-0,K.G. SHARMA,60,21
268,E,CVL721,SOLID WASTE ENGINEERING,3,3-0-0,BABU J.ALAPPAT,60,34
269,E,CVL775,CONSTRUCTION ECONOMICS AND FI,3,3-0-0,KUMAR NEERAJ JHA,150,8
270,E,CVL776,CONSTRUCTION PRACTICES AND EQ,3,3-0-0,A.K. JAIN,150,45
271,E,CVL864,STRUCTURAL HEALTH MONITORING,3,3-0-0,SURESH BHALLA,30,7
272,E,CYL669,BIOPHYSICAL CHEMISTRY I,3,3-0-0,PRAMIT KUMAR CHOWDHURY,60,25
273,E,DSL712,ELECTRONIC TECH. FOR SIGNAL CONDITIONING & INTERFA,3,3-0-0,D.T. SHAHANI,80,62
274,E,DSL732,ADV MAT PROCESSES & DIE DESIGN,3,2-0-2,SUMER SINGH,25,19
275,E,ELL212,ENGINEERING ELECROMAGNETICS,4,03-01-00,UDAY KIRAN KHANKHOJE,150,84
276,E,ELL231,POWER ELECTR. & ENERGY DEVICES,3,3-0-0,BHASKAR MITRA,60,51
277,E,ELL731,MIXED SIGNAL CIRCUIT DESIGN,3,3-0-0,SHOURIBRATA CHATTERJEE,60,34
278,E,ELL740,COMPACT MODELING OF SEMICONDUC,3,3-0-0,ABHISEK DIXIT,60,9
279,E,ELL772,PLANNING AND OPERATION OF A SM,3,3-0-0,BIJAYA KETAN PANIGRAHI,60,34
280,E,ELL815,MIMO WIRELESS COMMUNICATIONS,3,3-0-0,MANAV BHATNAGAR,60,34
281,E,ELL818,TELECOMMUNICATION TECHNOLOGIES,3,3-0-0,BREJESH LALL,60,9
282,E,EPL440,QUANTUM ELECTRONICS,3,3-0-0,SUNIL KUMAR,90,1
283,E,EPP110,PHYSICAL SYSTEM DESIIGN,2,0-0-4,G.B. REDDY,65,1
284,E,EPV431,SPECIAL TOPICS IN PHOTONICS AND OPTOELECTRONICS,1,1-0-0,JOBY JOSEPH,90,4
285,E,EPV431,SPECIAL TOPICS IN PHOTONICS AND OPTOELECTRONICS,1,1-0-0,JOBY JOSEPH,90,4
286,E,EPV451,SELECTED TOPICS IN PHOTONICS AND OPTOELECTRONICS,2,2-0-0,JOBY JOSEPH,90,1
287,E,ESL720,ENERGY CONSERVATION,3,3-0-0,S.C. KAUSHIK,60,33
288,E,MAL602,FUNCTIONAL ANALYSIS,4,03-01-00,SIVANANTHAN SAMPATH,60,43
289,E,MCL361,MANUFACTURING SYSTEM DESIGN,3,3-0-0,SIDDHARTH MAHAJAN,0,127
290,E,MCL736,Automotive Design,4,3-0-2,ANOOP CHAWLA,0,16
291,E,MCL759,ENTREPRENEURSHIP,3,3-0-0,NOMESH BHOJKUMAR BOLIA,0,128
292,E,MCL786,METROLOGY,3,2-0-2,P.VENKATESWARA RAO,0,24
293,E,MCL823,Thermal Design,4,3-0-2,PRABAL TALUKDAR,0,57
294,E,MCP261,INDUSTRIAL ENGINEERING LAB - I,1,0-0-2,SIDDHARTH MAHAJAN,0,43
295,E,MSL719,STATISTICS FOR MANAGEMENT,3,3-0-0,SEEMA SHARMA,115,70
296,E,MTL102,DIFFERENTIAL EQUATIONS,3,3-0-0,V.V.K. SRINIVAS KUMAR,200,171
297,E,MTL507,TOPOLOGY,4,03-01-00,ANIMA NAGAR,75,54
298,E,MTL744,MATHEMATICAL THEORY OF CODING,3,3-0-0,ANURADHA SHARMA,75,0
299,E,MTL843,Mathematical Modelling of credit risk,3,3-0-0,S.DHARMARAJA,10,11
300,E,PHL726,NANOSTRUCTURED MATERIALS,3,3-0-0,BODH RAJ,90,1
301,E,PHL792,OPTICAL ELECTRONICS,3,3-0-0,M.R. SHENOY,90,1
302,E,PYL102,PRINCIPLES OF ELECT. MATERIALS,3,3-0-0,NEERAJ KHARE,150,94
303,E,PYL116,ELEMENTS OF MATERIALS PROCEG,4,03-01-00,SUJEET CHAUDHARY,90,58
304,E,PYL411,QUANTUM ELECTRONICS,3,3-0-0,SUNIL KUMAR,90,3
305,E,PYL560,APPLIED OPTICS,4,03-01-00,K. THYAGARAJAN,90,56
306,E,PYL705,NANOSTRUCTURED MATERIALS,3,3-0-0,BODH RAJ,90,49
307,E,PYL754,Fourier Optics and Holography,3,3-0-0,KEDAR BHALCHANDRA KHARE,90,14
308,E,PYL792,OPTICAL ELECTRONICS,3,3-0-0,M.R. SHENOY,90,32
309,E,PYV418,SELECTED TOPICS IN PHOTONICS,2,2-0-0,JOBY JOSEPH,90,4
310,E,PYV419,SPECIAL TOPICS IN PHOTONICS,1,1-0-0,JOBY JOSEPH,90,5
311,E,SBL704,HUMAN VIROLOGY,3,3-0-0,VIVEKANANDAN PERUMAL,60,15
312,E,TXL221,YARN MANUFACTURE I,3,3-0-0,R.ALAGIRUSAMY,120,93
313,E,TXL740,SC. & APP. OF NANOTEC. IN TEX.,3,3-0-0,MANGALA JOSHI,75,36
314,E,TXL783,DESIGN OF EXPER. & STAT. TECH.,3,3-0-0,DIPAYAN DAS,75,24
315,E,TXP221,YARN MANUFACTURE LABORATORYI,1,0-0-2,DIPAYAN DAS,120,88
,75,,,,,,5532,3242
316,EP,CML100,INTRODUCTION TO CHEMISTRY,3,3-0-0,SIDDHARTH PANDEY,234,4
,1,,,,,,234,4
317,F,ASL755,REMOTE SENSING OF THE ATMOSPHERE AND OCEAN,3,3-0-0,SAGNIK DEY,100,107
318,F,BBL343,CARBOHYD. & LIPIDS IN BIOTECH.,3,02-01-00,PRASHANT MISHRA,60,1
319,F,BBL434,BIOINFORMATICS,3,2-0-2,D.SUNDAR,80,38
320,F,CEL754,GEOTECHNICAL PROCESSES IN ROCK ENGG.,3,3-0-0,R. AYOTHIRAMAN,60,0
321,F,CHL721,ADVANCED CHEMICAL ENGG. THERMODYNAICS,4,3-0-2,RATAN MOHAN,55,55
322,F,CHL774,PROCESS OPTIMIZATION,4,3-0-2,SHAIK ABDUL MUNAWAR,40,9
323,F,CHL793,MEMBRANE SCIENCE AND ENGINEERING,3,3-0-0,S.K. GUPTA,20,52
324,F,CLL231,FLUID MECHS. FOR CHEM. ENGINEE,4,03-01-00,PARESH PRAVINCHANDRA CHOKSHI,172,164
325,F,CLL371,CHEM. PROCESS TECH.& ECONOMICS,4,03-01-00,SREEDEVI UPADHYAYULA,125,108
326,F,CLL782,PROCESS OPTIMIZATION,3,3-0-0,SHAIK ABDUL MUNAWAR,25,9
327,F,CML526,STR. & FUNC. OF CELLULAR BIOM.,3,3-0-0,TANMAY DUTTA,60,49
328,F,CML738,APPLICATIONS OF P-BLOCK ELEMEN,3,3-0-0,ANIL JACOB ELIAS,60,59
329,F,COL106,DATA STRUCTURES AND ALGORITHMS,5,3-0-4,SUBODH KUMAR,200,118
330,F,COL774,MACHINE LEARNING,4,3-0-2,PARAG SINGLA,80,179
331,F,CVL222,SOIL MECHANICS,3,3-0-0,VENKATA RAMANA GUNTURI,104,107
332,F,CVL313,AIR AND NOISE POLLUTION,3,3-0-0,GAZALA HABIB,40,0
333,F,CVL702,GROUND IMPROVEMENT AND GEOSYNTHETICS,3,3-0-0,R. AYOTHIRAMAN,60,28
334,F,CVL723,WASTE WATER ENGINEERING,3,3-0-0,ARUN KUMAR,60,30
335,F,CVL830,GROUNDWATER FLOW AND POLLUTION MODELING,3,3-0-0,A.K.KESHARI,30,15
336,F,CVL871,DURABILITY AND REPAIR OF CONCR,3,3-0-0,SHASHANK BISHNOI,150,14
337,F,DSL811,SELECTED TOPICS IN INSTRUMENTATION-I,3,3-0-0,A.L. VYAS,20,2
338,F,EEL703,COMPUTER NETWORKS,3,3-0-0,RANJAN BOSE,60,27
339,F,ELL225,CONTROL ENGINEERING I,4,03-01-00,INDRA NARAYAN KAR,150,131
340,F,ELL303,POWER ENGINEERING-I,4,03-01-00,NILANJAN SENROY,120,117
341,F,ELL703,OPTIMAL CONTROL THEORY,3,3-0-0,RKP BHATT,60,25
342,F,ELL723,BROADBAND COMMUNICATION SYSTEM,3,3-0-0,VINOD CHANDRA,60,56
343,F,ELL756,SPECIAL ELECTRICAL MACHINES,3,3-0-0,K.R.RAJAGOPAL,60,10
344,F,ELL821,SELECTED TOPICS IN COMMUNICATI,3,3-0-0,SAIF KHAN MOHAMMED,60,19
345,F,EPL204,THERMAL & STATISTICAL,4,03-01-00,RAHUL SURESH MARATHE,55,4
346,F,ESL737,PLASMA BASED MATERIALS PROCESSING,3,3-0-0,A. GANGULI,60,2
347,F,ESL746,HYDROGEN ENERGY,3,3-0-0,L.M. DAS,60,30
348,F,ITL711,RELIABILITY AVAILABILITY AND MAINTAINABILITY(RAM),3,3-0-0,O.P. GANDHI,30,6
349,F,MAL382,THEORY OF AUTOMATA,4,03-01-00,NILADRI CHATTERJEE,50,80
350,F,MCL131,MANUFACTURING PROCESSES I,3,3-0-0,SIVANANDAM ARAVINDAN,110,74
351,F,MCL133,NEAR NET SHAPE MANUFACTURING,3,3-0-0,NARESH BHATNAGAR,45,63
352,F,MCL311,CAD & FINITE ELEMENT ANALYSIS,4,3-0-2,YOGENDRA NATH,0,130
353,F,MCL784,COMPUTER AIDED MANUFACTURING,4,3-0-2,P.V.MADHUSUDHAN RAO,0,42
354,F,MCL865,Advanced Operation Research,3,3-0-0,KIRAN SETH,0,40
355,F,MSL708,FINANCIAL MANAGEMENT,3,3-0-0,P.K.JAIN,115,80
356,F,MTL122,REAL AND COMPLEX ANALYSIS,4,03-01-00,RAJENDRA KUMAR SHARMA,100,75
357,F,MTL737,DIFFERENTIAL GEOMETRY,3,3-0-0,N.SHRAVAN KUMAR,30,24
358,F,MTL783,THEORY OF COMPUTATION,3,3-0-0,NILADRI CHATTERJEE,50,30
359,F,PTL706,POLYMER TESTING & PROPERTIES,3,3-0-0,LEENA NEBHANI,30,19
360,F,PYL202,STATISTICAL PHYSICS,4,03-01-00,RAHUL SURESH MARATHE,90,49
361,F,PYL707,CHARACTERISATION TEC. FOR MAT.,3,3-0-0,MUKESH CHANDER,90,14
362,F,PYL772,Plasmonic Sensors,3,3-0-0,B.D. GUPTA,90,24
363,F,RDL722,RURAL ENERGY SYSTEMS,3,3-0-0,VIRENDRA KUMAR VIJAY,60,227
364,F,SBL713,INTRO. TO STRUCTURAL BIOLOGY,3,3-0-0,MANIDIPA BANERJEE,60,5
365,F,SIL765,NETWORK & SYSTEMS SECUEITY,4,3-0-2,B.N. JAIN,40,13
366,F,TTP716,FIBRE PRODUCTION & POST SPINNING OPERATION LAB.,2,0-0-4,ASHWINI K. AGRAWAL,75,21
367,F,TXL241,TECH. OF TEXT. PREPARATION & F,3,3-0-0,KUSHAL SEN,120,64
368,F,TXL742,THEORY AND PRACTICE OF TEXTILE FINISHING,3,2-0-2,DEEPTI GUPTA,75,23
369,F,TXL782,PRODUCTION & OPERATIONS MGMT,3,3-0-0,S.M. ISHTIAQUE,75,7
370,F,TXP241,TECH. OF TEX. PRE. & FIN. LAB.,1.5,0-0-3,MD. S. WAZED ALI,120,66
,54,,,,,,3801,2741
371,H,AML706,FINITE ELEMENT METHODS & ITS APPL.TO MARINE STRU.,3,3-0-0,PUNEET MAHAJAN,25,24
372,H,APL105,MECHANICS OF SOLIDS AND FLUIDS,4,03-01-00,SANJEEV SANGHI,100,101
373,H,APL705,FINITE ELEMENT METHOD,4,3-0-2,S. PRADYUMNA,100,53
374,H,ASL734,DYNAMICS OF THE ATMOSPHERE,3,3-0-0,MAITHILI SHARAN,60,23
375,H,ASL762,AIR-SEA INTERACTION,3,3-0-0,VIMLESH PANT,75,86
376,H,BBL432,FLUID SOLID SYSTEMS,2,2-0-0,SHAIKH ZIAUDDIN AHAMMAD,80,38
377,H,BBL750,GENOME ENGINEERING,3,2-0-2,PREETI SRIVASTAVA,80,10
378,H,BEL713,MICROBIAL ENGINEERING,3,3-0-0,ATUL NARANG,60,19
379,H,BML710,INDUSTRIAL BIOMATERIAL TECHNOLOGY,3,3-0-0,VEENA KOUL,19,5
380,H,CEL432,DESIGN OF PRESTRESSED CONCRETE AND INDUSTRIAL STRU,4,3-0-2,ALOK MADAN,59,72
381,H,CEL826,ADVANCE FEM AND PROGRAMING,3,2-0-2,A.K. NAGPAL,30,2
382,H,CHL766,INTERFACIAL ENGG.,3,3-0-0,A.N. BHASKARWAR,50,94
383,H,CLL766,INTERFACIAL ENGINEERING,3,3-0-0,A.N. BHASKARWAR,20,21
384,H,CLL785,EVOLUTIONARY OPTIMIZATION,3,3-0-0,MANOJKUMAR CHARANDAS RAMTEKE,50,35
385,H,COL352,INTRO TO AUTOMATA & TH. OF CO.,3,3-0-0,SANDEEP SEN,120,14
386,H,COL750,FOUNDATIONS OF AUTOMATIC VERI.,4,3-0-2,SANJIVA PRASAD,40,3
387,H,CVL382,GROUNDWATER,2,2-0-0,BHAGU RAM CHAHAR,30,27
388,H,CVL778,BUILDING SERVICES AND MAINTENA,3,3-0-0,B.BHATTACHARJEE,150,18
389,H,CVL811,NUMERICAL AND COMPUTER METHODS IN GEOMECHANICS,3,3-0-0,TANUSREE CHAKRABORTY,60,5
390,H,CVL838,GEOGRAPHIC INFORMATION SYSTEMS,3,2-0-2,A.K. GOSAIN,30,13
391,H,CVL860,ADVANCED FINITE ELEMENT METHOD AND PROGRAMMING,3,3-0-0,A.K. NAGPAL,30,2
392,H,DSL734,LASER BASED INSTRUMENTATION,3,3-0-0,CHANDRA SHAKHER,25,25
393,H,DSL782,DESIGN FOR USABILITY,3,2-0-2,JYOTI KUMAR,25,10
394,H,EEL709,PATTERN RECOGNITION,3,3-0-0,SUMEET AGARWAL,50,40
395,H,ELL411,DIGITAL COMMUNICATIONS,4,3-0-2,RANJAN KUMAR MALLIK,120,24
396,H,ELL705,STOCHASTIC FILTERING AND IDENT,3,3-0-0,SHAUNAK SEN,60,10
397,H,ELL720,ADVANCED DIGITAL SIGNAL PROCES,3,3-0-0,SESHAN SRIRANGARAJAN,60,15
398,H,ELL769,Electrical Systems for Construction Industries,3,3-0-0,BHIM SINGH,90,33
399,H,ELL784,INTRODUCTION TO MACHINE LEARNI,3,3-0-0,SUMEET AGARWAL,60,82
400,H,ELL814,WIRELESS OPTICAL COMMUNICATION,3,3-0-0,V.K. JAIN,60,12
401,H,EPL332,NUCLEAR SCIENCE AND ENGINEERING,3,3-0-0,A.K. SHUKLA,95,8
402,H,MCL132,METAL FORMING AND PRESS TOOLS,3,3-0-0,K. HARIHARAN,44,59
403,H,MCL321,AUTOMOTIVE SYSTEMS,4,3-0-2,JITENDRA PRASAD KHATAIT,0,21
404,H,MCL345,RECIPROCATING INTERN. COM. EN.,4,3-0-2,P.M.V.SUBBARAO,0,67
405,H,MCL745,ROBOTICS,4,3-0-2,SUDIPTO MUKHERJEE,0,7
406,H,MCL771,VALUE ENGINEERING AND LIFE CYC,3,3-0-0,ANAND DEV GUPTA,0,63
407,H,MSL745,OPERATIONS MANAGEMENT,3,3-0-0,DR.JITENDRA MADAAN,115,108
408,H,MTL506,COMPLEX ANALYSIS,4,03-01-00,A. TRIPATHI,60,49
409,H,MTL710,DATABASE MANAGEMENT SYSTEMS,4,3-0-2,B. CHANDRA,75,130
410,H,PYL302,NUCLEAR SCIENCE & ENGINEERING,3,3-0-0,A.K. SHUKLA,95,17
411,H,PYL558,STATISTICAL MECHANICS,4,03-01-00,VARSHA BANERJEE,90,56
412,H,PYL725,SURFACE PHYSICS AND ANALYSIS,3,3-0-0,PANKAJ SRIVASTAVA,90,44
413,H,PYL770,ULTRA-FAST OPTICS & APPLICATI.,3,3-0-0,R.K. SONI,90,12
414,H,SBV882,BIOLOGICAL MEMBRANES,1,1-0-0,ADITYA MITTAL,100,9
415,H,SMV896,HUMAN VALUES IN MANAGEMENT,1,1-0-0,SHUCHI SINHA,115,78
416,H,TXL773,MEDICAL TEXTILES,3,3-0-0,SOURABH GHOSH,75,3
417,H,TXL777,PRODUCT DESIGN AND DEVELOPMENT,3,3-0-0,R. CHATTOPADHYAY,75,11
,47,,,,,,2937,1658
418,J,AML310,COMPUTATIONAL MECHANICS,4,3-0-2,SUHAIL AHMED,50,5
419,J,APL763,Micro & Nanoscale Mechanical Behaviour of Materials,4,3-0-2,RAJESH PRASAD,30,25
420,J,APL774,Modeling and Analysis,3,3-0-0,MALOY KUMAR SINGHA,90,13
421,J,ASL410,NUMERICAL SIMULATION OF ATMOSPHERIC AND OCEANIC PH,4,3-0-2,SAROJ KANTA MISHRA,80,341
422,J,ASL738,NUMERICAL MODELING OF THE ATMOSPHERE AND OCEAN,3,2-0-2,S.K. DASH,50,11
423,J,BBL341,ENVIRONMENTAL BIOTECHNOLOGY,3,3-0-0,SHILPI SHARMA,80,5
424,J,BBL431,BIOPROCESS TECHNOLOGY,2,2-0-0,V.S. BISARIA,80,48
425,J,BEL411,FOOD SCIENCE AND ENGINEERING,3,3-0-0,PRASHANT MISHRA,60,7
426,J,BML750,POINT OF CARE MEDICAL DIAG DEV,3,3-0-0,SANDEEP KUMAR JHA,50,8
427,J,BML820,BIOMATERIALS,3,3-0-0,HARPAL SINGH,44,12
428,J,CEL423,DESIGNS OF FOUNDATION; EARTH AND EARTH RETAINING S,4,03-01-00,R. AYOTHIRAMAN,102,36
429,J,COL705,THEORY OF COMPUTATION & COMPL.,3,3-0-0,SHWETA AGRAWAL,30,30
430,J,COL726,NUMERICAL ALGORITHMS,4,3-0-2,SUBHASHIS BANERJEE,30,17
431,J,COL772,NATURAL LANGUAGE PROCESSING,4,3-0-2,MAUSAM,60,147
432,J,COL864,SPL. TOPICS IN ARTIFICIAL INT.,3,3-0-0,K.K. BISWAS,40,6
433,J,CRL706,Sonars,3,3-0-0,RAJENDRA BAHL,0,1
434,J,CVL361,INTRODUCTION TO RAILWAY ENGG.,3,3-0-0,S.K. DEB,30,40
435,J,CVL735,FINITE ELEMENT IN WATER RESOU.,3,3-0-0,N.K. GARG,30,6
436,J,CVL825,FUNDAMENTAL OF AEROSOL:HEALTH AND CLIMATE CHANGE,3,3-0-0,GAZALA HABIB,20,3
437,J,DSL714,INSTRUMENT DESIGN AND SIMULATIONS,3,2-0-2,A.K. AGARWALA,35,24
438,J,ELL316,INTRODUCTION TO VLSI DESIGN,3,3-0-0,BASABI BHAUMIK,90,27
439,J,ELL888,ADVANCED MACHINE LEARNING,3,3-0-0,JAYADEVA,60,12
440,J,EPL333,COMPUTATIONAL PHYSICS,4,3-0-2,SUJIN B.BABU,90,3
441,J,ESL300,SELF-ORGANIZING DYNAMICAL SYSTEMS,3,3-0-0,MRS. R. UMA,120,30
442,J,ESL710,"ENERGY,ECOLOGY AND ENVIRONMENT",3,3-0-0,DR. M.G. DASTIDAR,60,50
443,J,HUL766,VISUAL METHODS IN SOCIAL RESEARCH,3,2-0-2,VIBHA ARORA,30,3
444,J,ITL702,DIAGNOSTIC MAINTENANCE AND MONITORING,4,3-0-2,NARESH TANDON,25,15
445,J,MCL748,Tribological System Design,4,3-0-2,HARISH HIRANI,0,5
446,J,MSL723,TELECOM SYSTEMS MANAGEMENT,3,3-0-0,MAHIM SAGAR,80,73
447,J,MTL411,FUNCTIONAL ANALYSIS,3,3-0-0,ANURADHA SHARMA,75,2
448,J,MTL508,MATHEMATICAL PROGRAMMING,4,03-01-00,APARNA MEHRA,60,68
449,J,PHL891,GUIDED WAVE OPTICAL COMPONENTS & DEVICERS,3,3-0-0,R.K. VARSHNEY,90,1
450,J,PTL709,POLYMER TECHNOLOGY,3,3-0-0,SAMPA SAHA,30,20
451,J,PYL204,COMPUTATIONAL PHYSICS,4,03-01-00,SUJIN B.BABU,90,57
452,J,PYL727,ENERGY MATERIALS AND DEVICES,3,3-0-0,D.K. PANDYA,90,33
453,J,PYL891,Fiber Optic Components and Devices,3,3-0-0,R.K. VARSHNEY,90,15
454,J,RDL700,BIOMAS PRODUCTION,3,3-0-0,SATYAWATI SHARMA,60,36
455,J,RDL760,FOOD QUALITY AND SAFETY,3,3-0-0,SANTOSH,60,108
456,J,SBL201,HIGH-DIMENSIONAL BIOLOGY,3,3-0-0,VIVEKANANDAN PERUMAL,60,43
457,J,SBV887,CURRENT TOPICS IN COMPUTATIONAL BIOLOGY,1,1-0-0,ADITYA MITTAL,100,6
458,J,TXL372,SPECIALITY YARNS AND FABRICS,2,2-0-0,B.K.BEHERA,120,78
,41,,,,,,2471,1470
459,K,AML360,ENGINEERING FLUID FLOWS,4,03-01-00,MURALI RAMAN CHOLEMARI,30,2
460,K,APL711,Advanced Fluid Mechanics,3,3-0-0,BALAJI SRINIVASAN,90,19
461,K,ASL754,CLOUD PHYSICS,3,3-0-0,DILIP GANGULY,100,15
462,K,CML739,APPLIED BIOCATALYSIS,3,3-0-0,SUNIL KUMAR KHARE,60,11
463,K,CVL747,TRANSPORTATION SAFETY AND ENVIRONMENT,3,3-0-0,GEETAM TEWARI,30,21
464,K,CVL826,QUANTITATIVE MICROBIAL RISK AS,1,1-0-0,ARUN KUMAR,40,4
465,K,CYL695,APPLIED BIOCATALYSIS,3,3-0-0,SUNIL KUMAR KHARE,60,29
466,K,ELV734,SPECIAL MODULE IN SCIENTIFIC W,1,1-0-0,MADHUSUDAN SINGH,60,4
467,K,EPV450,SELECTED TOPICS IN NANO-TECHNOLOGY,2,2-0-0,SANTANU GHOSH,90,2
468,K,HUL812,GRAMMER AND RHETORIC,3,3-0-0,RAJAKRISHNAN RAJKUMAR,30,13
469,K,MSL728,INTERNATIONAL TELECOM MANAGEMENT,3,3-0-0,RAVI SHANKAR,65,26
470,K,MTL145,NUMBER THEORY,3,3-0-0,A. TRIPATHI,75,50
471,K,MTL458,OPERATING SYSTEMS,4,3-0-2,S.DHARMARAJA,65,7
472,K,MTL717,FUZZY SETS AND APPLICATIONS,3,3-0-0,NILADRI CHATTERJEE,50,81
473,K,MTL738,COMMUTATIVE ALGEBRA,3,3-0-0,RUPAM BARMAN,30,7
474,K,MTL761,BASIC ERGODIC THEORY,3,3-0-0,ANIMA NAGAR,30,4
475,K,NEN101,PROFE. ETHICS &SOCIAL RESP.-2,2,0-0-4,SANGEETA KOHLI,120,3
476,K,PHL742,GENERAL RELATIVITY & INTRODUCTORY ASTROPHYSICS,3,3-0-0,AJIT KUMAR,90,5
477,K,PYL742,GEN. RELATIVITY & INTRO. ASTR.,3,3-0-0,AJIT KUMAR,90,115
478,K,PYV428,SELECTED TOPICS IN NANOTECHNO.,2,2-0-0,SANTANU GHOSH,90,4
479,K,SBV884,ELEMENTS OF NEUROSCIENCE,1,1-0-0,JAMES GOMES,100,7
480,K,SBV891,VIRUS-HOST INTERACTIONS,1,1-0-0,MANIDIPA BANERJEE,100,8
,22,,,,,,,
481,L,CML740,CHEMISTRY OF HETEROCYCLIC COMP,3,3-0-0,RAVI P. SINGH,60,15
482,L,CYL675,CHEM OF HETEROCYCLIC COMPOUND & NATURAL PRODUCTS,3,3-0-0,RAVI P. SINGH,60,14
483,L,EPV430,SPECIAL TOPICS IN NANO-TECHNOLOGY,1,1-0-0,JITENDRA PRATAP SINGH,90,12
484,L,EPV430,SPECIAL TOPICS IN NANO-TECHNOLOGY,1,1-0-0,JITENDRA PRATAP SINGH,90,12
485,L,PYL729,Nano probe Techniques,1,1-0-0,JITENDRA PRATAP SINGH,90,4
486,L,PYV429,SPL. TOPICS IN NANOTECHNOLOGY,1,1-0-0,JITENDRA PRATAP SINGH,90,19
,6,,,,,,480,76
487,M,APL720,Computational Fluid Dynamics,4,3-0-2,BALAJI SRINIVASAN,90,53
488,M,BML735,BIOMEDICAL SIGNAL AND IMAGE PR,3,2-0-2,ANUP SINGH,30,7
489,M,ELL457,SPECIAL TOPICS IN COGNITIVE & INTELLIGENT SYSTEMS,3,3-0-0,SUMEET AGARWAL,90,13
490,M,ELL778,DYNAMIC MODELLING AND CONTROL,3,3-0-0,SUKUMAR MISHRA,60,19
491,M,ELL803,MODEL REDUCTION IN CONTROL,3,3-0-0,MASHUQ-UN-NABI,60,15
492,M,ELL850,DIGITAL CONTROL OF POWER ELECT,3,3-0-0,MUMMADI VEERACHARY,60,20
493,M,ELL894,NETWORK PERFORMANCE MODELING A,3,3-0-0,JUN BAE SEO,60,1
494,M,ELV833,SPECIAL MODULE IN SEMICONDUCTO,1,1-0-0,ABHISEK DIXIT,60,8
495,M,ES718,"POWER SYSTEM-GENERATION, TRANSMISSION&DISTRIBUTION",3,3-0-0,ASHU VERMA,60,5
496,M,ESL871,ADVANCAED FUSION ENERGY,3,3-0-0,MRS. R. UMA,60,1
497,M,ESL880,Solar Thermal Power Generation,3,3-0-0,T.C. KANDPAL,60,4
498,M,HUL232,MODERN INDIAN FICTION IN TRANSLATION,4,03-01-00,SIMONA SAWHNEY,78,190
499,M,HUL239,Indian Fiction in English,4,03-01-00,STUTI KHANNA,78,217
500,M,HUL258,SOCIAL AND POLITICAL PHILOSOPH,4,03-01-00,ARUDRA VENKATA BURRA,78,269
501,M,HUL271,Introduction to Sociology,4,03-01-00,SARBESWAR SAHOO,78,704
502,M,HUL320,SELECTED TOPICS IN ECONOMICS,3,3-0-0,SAPTARSHI MUKHERJEE,34,204
503,M,HUL333,THEATRE OF THE ABSURD,3,3-0-0,ANGELIE MULTANI,34,79
504,M,HUL362,ORGANIZATIONAL BEHAVIOUR,3,3-0-0,PURNIMA SINGH,34,262
505,M,HUL381,MIND,3,3-0-0,RAJAKRISHNAN RAJKUMAR,34,270
506,M,HUL755,Econometrics and Economic Forecasting,3,3-0-0,ANKUSH AGRAWAL,30,10
507,M,MAL745,SOFTWARE ENGINEERING,4,3-0-2,S.DHARMARAJA,65,51
508,M,MTL757,INTRO. TO ALGEBRAIC TOPOLOGY,3,3-0-0,RITUMONI SARMA,30,12
509,M,MTL782,DATA MINING,4,3-0-2,B. CHANDRA,75,57
510,M,PTL712,POLYMER COMPOSITES,3,3-0-0,BHABANI KUMAR SATAPATHY,40,16
511,M,PYL741,FIELD THEORY & QUANTUM ELECTR.,3,3-0-0,V.RAVISHANKAR,90,40
512,M,RDL726,"HERBAL,MEDICINAL ANDAROMATIC PRODUCTS",3,2-0-2,S.N.NAIK,20,28
513,M,SML780,MANAGERIAL ECONOMICS,3,2-0-2,AMLENDU KUMAR DUBEY,80,102
