Serial No.,Course Slot,Course Code,Course Description,Course Credit,L-T-P,Course Coordinator,Max.Limit,Stu.Registered
59,AM,ELL100,INTRO. TO ELECTRICAL ENGG.,4,3-0-2,MUKUL SARKAR,300,5
60,AM,PHL100,ELECTROMAGNETIC WAVES & QUANTUM MECHANICS,3,3-0-0,P.SENTHILKUMARAN,300,11
,3,,,,,,900,21
61,AP,APL100,ENGINEERING MECHANICS,4,03-01-00,S.V. VEERAVALLI,300,15
62,AP,ELL100,INTRO. TO ELECTRICAL ENGG.,4,3-0-2,KUSHAL KUMAR SHAH,300,4
63,AP,PHL100,ELECTROMAGNETIC WAVES & QUANTUM MECHANICS,3,3-0-0,P.SENTHILKUMARAN,300,12
,3,,,,,,900,31
64,B,AML710,COMPUTER AIDED DESIGN,4,3-0-2,SRIRAM HEGDE,90,35
65,B,AML795,SUBMARINE DESIGN,3,3-0-0,CDR (DR.) R. VIJAYAKUMAR,20,24
66,B,APL871,Product Reliability & Maintenance,3,3-0-0,VIKRANT TIWARI,90,35
67,B,ASL750,BOUNDARY LAYER METEOROLOGY,3,3-0-0,SOMNATH BAIDYA ROY,25,3
68,B,BEL702,BIOPROCESS PLANT DESIGN,5,3-0-4,T.R.SREEKRISHNAN,80,42
69,B,BML800,RESEARCH TECHNIQUES IN BIOMEDICAL ENGINEERING,3,3-0-0,SNEH ANAND,50,10
70,B,CEL451,WATER POWER ENGINEERING,4,3-0-2,SUMEDHA CHAKMA,69,52
71,B,CEL724,EARTHQUAKE ANALYSIS AND DESIGN,3,3-0-0,VASANT A. MATSAGAR,60,17
72,B,CEL757,FIELD EXPLORATION AND MEASUREMENT,3,3-0-0,TANUSREE CHAKRABORTY,60,0
73,B,CHL735,DESIGN OF SEPARATION PROCESSES,4,3-0-2,SUDDHASTWA BASU,40,74
74,B,CLL251,HEAT TRANSFER FOR CHEMICAL ENG,4,03-01-00,JAYATI SARKAR,170,181
75,B,CLL352,MASS TRANSFER II,4,03-01-00,ANIL VERMA,125,111
76,B,CLL721,ELECTROCHEMICAL METHODS,3,3-0-0,ANUPAM SHUKLA,50,11
77,B,CLL735,DESIGN OF MULTICOMP. SEP. PRO.,3,3-0-0,SUDDHASTWA BASU,20,5
78,B,CLL767,STRUCTURES & PROP. OF POLYMERS,3,3-0-0,SUDIP KUMAR PATTANAYEK,50,11
79,B,CML525,BASIC ORGANOMETALIC CHEMISTRY,3,3-0-0,S.NAGENDRAN,60,50
80,B,CML801,MOLECULAR MODELLING AND SIMULA,3,3-0-0,HEMANT KUMAR KASHYAP,60,20
81,B,COL216,COMPUTER ARCHITECTURE,4,3-0-2,ANSHUL KUMAR,125,100
82,B,COL331,OPERATING SYSTEMS,5,3-0-4,KOLIN PAUL,120,112
83,B,COL633,RESOURCE MANAGEMENT IN COMPUTER SYSTEMS,4,3-0-2,KOLIN PAUL,30,23
84,B,COL718,ARCH. OF HIGH PERF. COMPUTERS,4,3-0-2,SMRUTI RANJAN SARANGI,40,42
85,B,CRL724,RF AND MICROWAVE MEASUREMENT SYSTEM TECHNIQUES,3,3-0-0,ANANJAN BASU,37,29
86,B,CVL212,ENVIRONMENTAL ENGINEERING,4,3-0-2,ARUN KUMAR,150,91
87,B,CVL261,INTRO. TO TRANSPORTATION ENGG.,3,3-0-0,RAMACHANDRA RAO KALAGA,124,110
88,B,CVL703,GEOENVIRONMENTAL ENGINEERING,3,3-0-0,MANOJ DATTA,60,16
89,B,CVL714,FIELD EXPLORATION AND GEOTECHNICAL PROCESSES,3,3-0-0,TANUSREE CHAKRABORTY,60,20
90,B,CVL724,ENVIRONMENTAL SYSTEMS ANALYSIS,3,3-0-0,ARVIND KUMAR NEMA,60,23
91,B,CVL762,EARTHQUAKE ANALYSIS AND DESIGN,3,3-0-0,VASANT A. MATSAGAR,60,9
92,B,CVL875,SUSTAINABLE MATERIALS AND GREE,3,3-0-0,B.BHATTACHARJEE,150,22
93,B,CYL685,APPLIED ORGANOMETALLIC CHEMISTRY,3,3-0-0,A.K. SINGH,60,34
94,B,DSL722,PRECISION MEASUREMENTS SYSTEMS,3,3-0-0,GUFRAN SAYEED KHAN,25,15
95,B,ELL201,DIGITAL ELECTRONICS,4.5,3-0-3,ANUJ DHAWAN,400,246
96,B,ELL332,ELECTRIC DRIVES,3,3-0-0,RAMKRISHAN MAHESHWARI,90,32
97,B,ELL402,COMPUTER COMMUNICATION,3,3-0-0,SWADES KUMAR DE,90,12
98,B,ELL704,ADVANCED ROBOTICS,3,3-0-0,S. JANARDHANAN,60,10
99,B,ELL718,STATISTICAL SIGNAL PROCESSING,3,3-0-0,SURINDRA PRASAD,60,14
100,B,ELL752,ELECTRIC DRIVE SYSTEM,3,3-0-0,AMIT KUMAR JAIN,60,23
101,B,ELL774,FLEXIBLE AC TRANSMISSION SYSTE,3,3-0-0,BHIM SINGH,60,8
102,B,ELL788,COMPUTATIONAL PERCEPTION & CO.,3,3-0-0,TAPAN KUMAR GANDHI,60,35
103,B,ESL330,"ENERGY, ECOLOGY AND ENVIRONMENT",4,03-01-00,K.A. SUBRAMANIAN,120,248
104,B,ESL350,ENERGY CONSERVATION MANAGEMENT,3,03-01-00,DIBAKAR RAKSHIT,120,53
105,B,ESL360,DIRECT ENERGY CONVERSION,4,03-01-00,RAMESH NARAYANAN,120,9
106,B,HUL235,RISE OF THE NOVEL,4,03-01-00,ARJUN GHOSH,78,34
107,B,HUL372,AGRARIAN INDIA: PAST AND PRESENT,3,3-0-0,RICHA KUMAR,34,20
108,B,HUL737,ADVANCED GROWTH THEORY,3,3-0-0,DEBASIS MONDAL,30,3
109,B,HUV886,SPECIAL MODULE IN COGNITIVE PSYCHOLOGY,2,1-0-2,VARSHA SINGH,18,11
110,B,ITL714,FAILURE ANALYSIS AND REPAIR,4,3-0-2,DEEPAK KUMAR,25,15
111,B,MCL136,MATERIAL REMOVAL PROCESSES,3,3-0-0,SUDARSAN GHOSH,0,43
112,B,MCL201,MECHANICAL ENGG. DRAWING,3.5,2-0-3,JAYANTA KUMAR DUTT,146,132
113,B,MCL344,REFRIGERATION & AIR-CONDITION.,4,3-0-2,SANJEEV JAIN,0,26
114,B,MCL738,Dynamics of Multibody Systems,3,2-0-2,SUBIR KUMAR SAHA,0,9
115,B,MCL743,Plant Equipment Design,3,3-0-0,R.K.PANDEY,0,28
116,B,MCL747,Design of Precision Machines,3,2-0-2,JITENDRA PRASAD KHATAIT,0,6
117,B,MCL782,COMPUTATIONAL METHODS,2,2-0-0,PULAK MOHAN PANDEY,0,27
